"Data Source","World Development Indicators",

"Last Updated Date","2025-12-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166.007057510392","170.996447156052","170.236634624963","162.223584245923","162.495150153186","156.295820944702","153.48902900154","150.423176735311","149.910228348787","141.589705348872","136.670373865438","131.34246895388","125.45035255452","119.924103058101","115.2940473299","109.932128047785","103.889136904351","98.8359909874724","93.769255659709","89.1969130741823","85.9415134696025","87.3579037764883","78.9054217634591","74.7071109466787","73.5860883176291","71.8244382347921","69.6722063696027","68.2390218853462","63.3576972065096","60.6580783301841","58.9116528725575","57.1405061822292","56.6449066839014","53.8062516481712","",
"Afghanistan","AFG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","353.2","347.6","342.3","336.8","331.7","326.5","321.5","316.6","311.6","306.4","301.6","296.5","291.4","285.9","280.6","275.2","269.7","263.8","257.9","251.9","245.7","239.4","279.9","274.4","309.1","300.9","253.1","247.2","218.4","187.1","180.7","174.4","168.5","163","157.7","152.8","148.3","144.1","139.9","135.8","131.7","127.4","123.1","118.7","114.2","109.7","105.1","100.7","96.3","92.2","88.3","84.6","81.2","78","75.1","72.4","70","67.6","65.4","63.3","61.3","59.3","57.4","55.5","",
"Africa Western and Central","AFW","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198.027940634512","196.342627739967","194.792107004657","193.129834521809","191.19671138224","188.879551540936","186.140991973689","182.592866554921","178.520481509666","173.95117365404","168.986796798122","163.80018403463","158.362260265767","152.865686105041","147.443086516047","142.197619492904","137.302381740468","132.792490854853","128.627647084077","129.544755083035","121.712749065176","118.528957391727","115.80657294891","113.599170995479","112.215793657169","109.224144920449","107.036377451589","105.157187178854","102.260921384481","101.440052039004","97.0265476087927","95.1061739586136","95.4174092711161","88.7263351835125","",
"Angola","AGO","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","238.1","235.3","232.9","230","228","226.3","225","224","223.2","222.8","222.7","222.5","222.4","222","221.6","220.7","218.9","216.2","212.6","208.2","203","196.9","189.9","182.2","173.8","165","155.5","146","137","128.2","119.8","112.1","104.8","98.3","92.8","88.2","84.1","80.5","77.3","74.4","71.6","69","66.4","64","",
"Albania","ALB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","96.2","88.4","81.2","74.9","69","63.7","59","54.8","51.1","47.9","45.1","42.8","40.8","39","37.6","36.2","34.9","33.6","32.4","31.1","29.8","28.4","27.1","25.7","24.3","22.9","21.4","20","18.5","17.1","15.8","14.5","13.3","12.2","11.2","10.5","9.9","9.6","9.4","9.3","9.3","9.4","9.4","9.5","9.4","9.4","",
"Andorra","AND","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","17.2","16.3","15.4","14.5","13.7","13.1","12.3","11.6","11","10.5","9.9","9.4","8.9","8.4","8","7.6","7.2","6.9","6.6","6.2","6","5.6","5.4","5.1","4.8","4.6","4.4","4.1","3.9","3.7","3.5","3.4","3.2","3.1","3","2.9","2.8","2.7","2.6","",
"Arab World","ARB","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.3248385425828","93.3171012858922","89.4208187020821","75.3656845386938","73.233851450619","71.2672855155214","69.2049747569563","67.1435678298185","65.0431618421872","63.0460871564588","61.018014937713","59.0888425043178","57.2544022150715","55.4107081553799","55.3732423366141","53.593428943193","49.9992694004969","48.0431179632949","46.1816413629311","44.5280921640222","44.5478729826072","53.2587906290182","42.6674264130527","39.5127635612509","38.2799244975772","37.6067990424134","36.6614741024398","37.7385335476234","36.6148037072111","34.9550715309171","33.9629421038802","33.3627219946347","34.9880873365607","31.7791999547012","",
"United Arab Emirates","ARE","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","200.7","190.4","179.5","168.9","158.3","147.5","137","126.3","115.9","105.8","96.2","87.2","78.9","71.2","64.3","58","52.3","47","42.2","37.8","34","30.6","27.7","25.2","23.1","21.2","19.7","18.3","17.1","16.1","15.1","14.3","13.7","13.1","12.6","12.1","11.8","11.5","11.2","10.9","10.7","10.5","10.3","10.1","10","9.8","9.6","9.4","9.2","9","8.8","8.6","8.4","8.2","7.9","7.7","7.3","7","6.7","6.3","6","5.6","5.3","5","",
"Argentina","ARG","Mortality rate, under-5 (per 1,000 live births)","SH.DYN.MORT","","","","","","","","","","72.5","71.7","70.8","69.7","68.2","66.1","63.3","59.8","55.6","51.2","46.8","42.8","39.4","36.5","34.1","32.1","30.6","29.6","29.1","29","28.9","28.8","28.4","27.6","26.6","25.4","24.2","23.1","21.9","20.9","20.1","19.4","18.8","18.3","17.8","17.3","16.7","16.2","15.8","15.4","14.9","14.4","13.9","13.3","12.7","12.2","11.7","11.4","11","10.7","10.5","10.3","10","9.8","9.6","",
